quesId,tagId
35833836,1
35833836,2
35438381,3
35438381,4
35438381,5
35438381,6
35438381,7
35834263,8
35834263,9
35834263,10
35834263,11
35834262,12
35834262,13
35834261,14
35834261,15
35834261,16
35834261,17
35834261,18
35834259,19
35834259,20
35834220,21
35834220,22
35834220,7
35834220,23
35833191,24
35833191,25
35833191,26
35833191,27
35833191,28
35833879,29
35833879,30
35833879,17
35833879,31
35833879,32
35834256,33
35834256,34
35834256,35
35834256,36
35834256,11
35834254,37
35834254,1
35834253,38
35834253,39
35834253,40
35834252,8
35834252,41
35834252,42
35832045,43
35832045,44
35832045,45
35832045,46
35833750,47
35833750,48
35833750,49
35833750,50
35824729,51
35824729,52
35824729,53
35834190,54
35834190,55
35834190,56
35834248,36
35834248,11
35834247,4
35380427,57
35834244,58
35834244,59
35834237,60
35834237,61
35834235,62
35834235,1
35834164,63
35834164,64
35834164,65
35834164,59
35811981,17
35811981,66
35822767,2
35834225,66
35834225,67
35834225,68
35816922,69
35816922,70
35816922,2
35833582,71
35833582,72
35834218,73
35834218,74
35834218,75
35834218,76
35834216,54
35834216,77
35834216,78
35834212,79
35834212,80
35834212,81
35834210,82
35834210,83
35833931,84
35833931,1
35833931,85
35833931,86
35833931,87
35834205,71
35834205,88
35834205,72
35834205,46
35834146,54
35834146,89
35833998,17
35834054,4
35834054,83
35834054,90
35834054,91
35834054,7
35834194,92
35834194,2
35834194,93
35832981,94
35832981,95
35832981,96
35832981,97
35833201,98
35833201,99
35833201,100
35834181,101
35834181,102
35834181,103
35834181,104
35834181,105
35834180,71
35834180,106
35834180,72
35834180,107
35834180,108
35834177,109
35834177,110
35834177,42
35834177,111
35834062,4
35834062,112
35834062,113
35819308,19
35819308,114
35819308,115
4358975,101
4358975,116
4358975,35
4358975,117
4358975,50
31540223,118
31540223,119
31540223,120
31540223,121
31540223,122
35834160,123
35834160,124
35834160,125
35834160,126
4288921,127
4288921,8
4288921,128
4288921,129
